donor_id,donor_name,donor_type,city,state,email,phone,acquisition_date,acquisition_channel,age_group,gender,occupation,wealth_score,engagement_score,is_major_donor,is_recurring,communication_preference,opted_out
D00001,Grace Martin,Individual,Sydney,NSW,donor1@email.com,0414265799,2022-07-02,Recurring,26-35,Female,Business Owner,24.4,40.6,0,0,Phone,0
D00002,Zoe Green,Individual,Melbourne,VIC,donor2@email.com,0466722344,2022-06-09,Direct Mail,26-35,Prefer not to say,Other,86.2,51.8,1,0,Phone,0
D00003,Gabriel Miller,Individual,Fremantle,WA,donor3@email.com,0460806024,2020-02-14,Direct Mail,36-45,Non-binary,Other,46.9,19.3,0,0,Mail,0
D00004,William Williams,Individual,Adelaide,SA,donor4@email.com,0447308985,2022-05-25,Peer-to-Peer,65+,Female,Education,51.0,61.5,0,0,Mail,0
D00005,Matthew Stewart,Individual,Adelaide,SA,donor5@email.com,0460929647,2021-06-30,Recurring,65+,Male,Other,48.4,35.2,0,0,Phone,0
D00006,James Ortiz,Individual,Geelong,VIC,donor6@email.com,0497971488,2021-08-03,Online,36-45,Prefer not to say,Education,62.4,34.8,0,0,Any,0
D00007,Ryan Thompson,Individual,Newcastle,NSW,donor7@email.com,0476238574,2020-08-12,Event,65+,Prefer not to say,Other,60.9,49.8,0,0,Email,0
D00008,Grayson Diaz,Individual,Newcastle,NSW,donor8@email.com,0411540956,2021-04-24,Recurring,18-25,Prefer not to say,Finance,1.0,37.9,0,1,Email,0
D00009,Scott Pty Ltd,Corporate,Cairns,QLD,donor9@email.com,0445351479,2020-06-10,Direct Mail,N/A,N/A,N/A,2.5,67.8,0,1,Phone,0
D00010,King Foundation,Foundation,Sydney,NSW,donor10@email.com,0431682744,2021-06-03,Social Media,N/A,N/A,N/A,41.1,40.9,0,0,Email,0
D00011,Luke Reed,Individual,Darwin,NT,donor11@email.com,0475228535,2021-08-03,Online,36-45,Female,Professional,58.0,46.5,0,1,Phone,0
D00012,Abigail Thompson Estate,Bequest,Darwin,NT,donor12@email.com,0482383095,2021-09-13,Recurring,N/A,N/A,N/A,37.8,58.0,0,1,Phone,0
D00013,Zoey Nelson Estate,Bequest,Mount Gambier,SA,donor13@email.com,0455377076,2021-04-07,Email,N/A,N/A,N/A,60.3,62.3,0,0,Phone,0
